author_sort,authors,comments,cover,formats,id,identifiers,isbn,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,timestamp,title,title_sort,uuid,#goodreads_date_read,#goodreads_reading_progress
"Arora, Pankaj & Biyani, Raj & Dave, Salil","Pankaj Arora & Raj Biyani & Salil Dave","<h3>Product Description</h3> <p><strong>This invaluable guide addresses the Why, What, and How of enterprise cloud adoption, leveraging a clear framework and proven best practices from Microsoft's own experience.</strong></p> <p>“Great book. What’s particularly impressive is the outline of steps Microsoft itself is taking in its move to the cloud. Do as I do is always more powerful than do as I say.”—Al Ries, Coauthor, <em>War in the Boardroom</em></p> <p>“This book takes on enterprise cloud adoption to a level I’ve not seen before—made even more elegant with its structured framework and crisp approach.” —Anthony D. Christie, CMO, Level 3 Communications, Former CTO/CIO, Global Crossing </p> <p>“A practical and timely guide that covers the entire journey to the cloud from an enterprise perspective, including business, technology, and organizational impact.”—Bart Luijten, CIO Corporate Functions &amp; Corporate Technology, Philips </p> <p>“The cloud powers business solutions for building tomorrow’s enterprise and this book offers a simple, well-structured, and high-level process map for cloud adoption.”—Kris Gopalakrishnan, Executive Co-Chairman, Infosys Limited </p> <p>Cloud computing is full of tremendous opportunity, but is also riddled with hype and confusion. Business and technology leaders know the cloud is essential, but lack clarity and experience. <em>To the Cloud</em> cuts through the noise and addresses the <em>Why, What,</em> and <em>How</em> of enterprise cloud adoption. The book lays out a four-step framework leveraging the experience and best practices of Microsoft's own IT group. It provides end-to-end business and technology guidance, including how to analyze application portfolios to identify good cloud candidates, choose the right cloud models, consider architecture and security, and understand how shifting operations to the cloud affects budgeting and staffing. </p> <p>The book is applicable to all cloud platforms and providers, and debunks myths in its clear and concise style (e.g., real clouds are more than just web hosting, virtualization, or the Internet itself rebranded). It takes a balanced approach, addressing concerns and hybrid adoption scenarios alike. Leveraging the authors' proven expertise working for Microsoft's CIO on cloud migration and with cloud platform development teams, the book is supported by clear frameworks, graphics, tables, summaries, and checklists to provide a true practitioner’s guide to the cloud. </p> <p>In this book, you will learn how to </p> <ul> <li><strong>Explore</strong> cloud computing to understand its promise and challenges </li> <li><strong>Envision</strong> how cloud computing can transform your organization </li> <li><strong>Enable</strong> your organization with the necessary resources and skills </li> <li><strong>Execute</strong> the design, development, and operation of cloud workloads</li> </ul> <p><em>To the Cloud</em> is an essential guide for IT professionals seeking to lower total cost of ownership, improve the return on IT investment of existing services, or help the business bring new products to market more quickly. </p> <h3>About the Author</h3> <p><strong>Pankaj Arora</strong> is a Senior Manager in the Microsoft IT Global Strategic Initiatives team. A thought leader on cloud computing, he has been integral in developing the enterprise business case for Microsoft IT, defining the internal cloud adoption strategy, and partnering with the Windows Azure team on platform readiness and competitive analysis. Pankaj was the technical lead for the first migration of a Microsoft IT application to Azure, and he also launched an initiative to move critical assets to the cloud. </p> <p><strong>Raj Biyani</strong> is the Managing Director for Microsoft IT (India) and the Global Strategic Initiatives organization. Microsoft IT (India) is Microsoft’s largest IT operation outside of corporate headquarters in Redmond, Washington. Raj has demonstrated an ability to see opportunities early and generate executive support for initiatives to capitalize on those opportunities. Prior to joining Microsoft IT, he led the envisioning and successful creation of the Windows Marketplace, an electronic software delivery platform for Microsoft. </p> <p><strong>Salil Dave</strong> is a Senior Director in the Microsoft IT Global Strategic Initiatives team. In his 25-year career, he has covered a range of industries and roles, including a decade at Microsoft, 6 years at supply chain software pioneer i2 Technologies, and 5 years at the Indian Revenue Service. Salil has a BTech from the Indian Institute of Technology Kanpur, an MBA from the Indian Institute of Management Ahmedabad, and an MPA from Harvard University. </p>","/Users/nick/Calibre Library/Pankaj Arora/To the Cloud_ Cloud Powering an Enterprise (45)/cover.jpg","","45","amazon:B006TF6WDY,google:xjO8hFAoKZ0C,isbn:9780071792219","9780071792219","eng","Calibre Library","2011-12-29T20:37:02-06:00","McGraw Hill Professional","5","","1.0","","Business & Economics, Information Management","2022-11-25T20:36:50-06:00","To the Cloud: Cloud Powering an Enterprise","To the Cloud: Cloud Powering an Enterprise","c4b2e177-cde3-4c04-92d7-6c487953e561","",""
"Birla, Madan","Madan Birla","An inside look at leadership practices that enabled the world's leading shipping company to outthink and outperform its competition 
Using firsthand accounts from top leaders at FedEx, FedEx Delivers explains how the company became an international powerhouse and one of the most trusted global brands by using leadership practices that tapped into the creativity and commitment of its employees.
Both a compelling business story and a prescription for business success, FedEx Delivers presents a model to show how these practices created and sustained an innovation culture. Readers will learn how to apply this model to their organizations for developing a culture of innovation that evolves with the times and offers fresh solutions to new challenges.
Innovative thinking and disciplined execution are what made FedEx a market leader, and they can help any business in any industry do the same. Each chapter covers a different aspect of innovation with real-life stories that highlight its effectiveness, and offers valuable ideas that lead managers through the process of implementing those practices.
By breaking innovation down to its three simplest steps-generation, acceptance, and implementation of ideas-and offering proven leadership practices that really work, FedEx Delivers offers unique insight and invaluable advice on building an organization that can adapt to any challenge and meet any goal in today's highly competitive global economy.
","/Users/nick/Calibre Library/Madan Birla/FedEx Delivers_ How the World's Leading Shipping Company Keeps Innovating and Outperforming the (46)/cover.jpg","","46","amazon:0471715794","","","Calibre Library","2006-12-31T18:00:00-06:00","Wiley","4","","1.0","","","2022-11-25T20:36:50-06:00","FedEx Delivers: How the World's Leading Shipping Company Keeps Innovating and Outperforming the Competition","FedEx Delivers: How the World's Leading Shipping Company Keeps Innovating and Outperforming the Competition","9ea1d511-7330-4180-954f-62eaab52ab61","",""
"Galula, David","David Galula","This volume in the Praeger Security International (PSI) series Classics of the Counterinsurgency Era defines the laws of insurgency and outlines the strategy and tactics to combat such threats. Drawn from the observations of a French officer, David Galula, who witnessed guerrilla warfare on three continents, the book remains relevant today as American policymakers, military analysts, and members of the public look to the counterinsurgency era of the 1960s for lessons to apply to the current situation in Iraq and Afghanistan. With a new foreword by John A. Nagl, author of Counterinsurgency Lessons from Malaya and Vietnam (Praeger, 2002).
This volume in the Praeger Security International (PSI) series Classics of the Counterinsurgency Era defines the laws of insurgency and outlines the strategy and tactics to combat such threats. Drawn from the observations of a French officer, David Galula, who witnessed guerrilla warfare on three continents, the book remains relevant today as American policymakers, military analysts, and members of the public look to the counterinsurgency era of the 1960s for lessons to apply to the current situation in Iraq and Afghanistan. With a new foreword by John A. Nagl, author of Counterinsurgency Lessons from Malaya and Vietnam (Praeger, 2002).
**
","/Users/nick/Calibre Library/David Galula/Counterinsurgency Warfare_ Theory and Practice (47)/cover.jpg","","47","isbn:9780275989415,amazon:0275989410","9780275989415","eng","Calibre Library","1964-05-29T19:00:00-05:00","Praeger","4","","1.0","","","2022-11-25T20:36:50-06:00","Counterinsurgency Warfare: Theory and Practice","Counterinsurgency Warfare: Theory and Practice","5839b9b9-53a4-4d7e-8a06-41f2127bfa79","",""
"Mesquita, Bruce Bueno de","Bruce Bueno de Mesquita","Bruce Bueno de Mesquita is a master of game theory, which is a fancy label for a simple idea: People compete, and they always do what they think is in their own best interest. Bueno de Mesquita uses game theory and its insights into human behavior to predict and even engineer political, financial, and personal events. His forecasts, which have been employed by everyone from the CIA to major business firms, have an amazing 90 percent accuracy rate, and in this dazzling and revelatory book he shares his startling methods and lets you play along in a range of high-stakes negotiations and conflicts. 
Revealing the origins of game theory and the advances made by John Nash, the Nobel Prize—winning scientist perhaps best known from *A Beautiful Mind* , Bueno de Mesquita details the controversial and cold-eyed system of calculation that he has since created, one that allows individuals to think strategically about what their opponents want, how much they want it, and how they might react to every move. From there, Bueno de Mesquita games such events as the North Korean disarmament talks and the Middle East peace process and recalls, among other cases, how he correctly predicted which corporate clients of the Arthur Andersen accounting firm were most likely engaged in fraudulent activity (hint: one of them started with an E). And looking as ever to the future, Bueno de Mesquita also demonstrates how game theory can provide successful strategies to combat both global warming (instead of relying on empty regulations, make nations compete in technology) and terror (figure out exactly how much U.S. aid will make Pakistan fight the Taliban). 
But as Bueno de Mesquita shows, game theory isn’t just for saving the world. It can help you in your own life, whether you want to succeed in a lawsuit (lawyers argue too much the merits of the case and question too little the motives of their opponents), elect the CEO of your company (change the system of voting on your board to be more advantageous to your candidate), or even buy a car (start by knowing exactly what you want, call every dealer in a fifty-mile radius, and negotiate only over the phone). 
Savvy, provocative, and shockingly effective, **The Predictioneer’s Game** will change how you understand the world and manage your future. Life’s a game, and how you play is whether you win or lose.
","/Users/nick/Calibre Library/Bruce Bueno de Mesquita/The Predictioneer's Game_ Using the Logic of Brazen Self-Interest to See and Shape the Future (48)/cover.jpg","","48","amazon:081297977X,isbn:9780812979770","9780812979770","eng","Calibre Library","2010-10-11T19:00:00-05:00","Random House Trade Paperbacks","4","","1.0","","","2022-11-25T20:36:50-06:00","The Predictioneer's Game: Using the Logic of Brazen Self-Interest to See and Shape the Future","Predictioneer's Game: Using the Logic of Brazen Self-Interest to See and Shape the Future, The","fea4085c-6d8d-48fa-80d7-034b64d40907","",""
"George, Rose","Rose George","**Eye-opening and compelling, the overlooked world of freight shipping, revealed as the foundation of our civilization**
On ship-tracking Web sites, the waters are black with dots. Each dot is a ship; each ship is laden with boxes; each box is laden with goods. In postindustrial economies, we no longer produce but buy, and so we must ship. Without shipping there would be no clothes, food, paper, or fuel. Without all those dots, the world would not work. Yet freight shipping is all but invisible. Away from public scrutiny, it revels in suspect practices, dubious operators, and a shady system of ""flags of convenience."" And then there are the pirates. 
Rose George, acclaimed chronicler of what we would rather ignore, sails from Rotterdam to Suez to Singapore on ships the length of football fields and the height of Niagara Falls; she patrols the Indian Ocean with an anti-piracy task force; she joins seafaring chaplains, and investigates the harm that ships inflict on endangered whales. Sharply informative and entertaining, *Ninety Percent of Everything* reveals the workings and perils of an unseen world that holds the key to our economy, our environment, and our very civilization.
","/Users/nick/Calibre Library/Rose George/Ninety Percent of Everything_ Inside Shipping, the Invisible Industry That Puts Clothes on Your (49)/cover.jpg","","49","isbn:9781250058294,amazon:1250058295","9781250058294","eng","Calibre Library","2014-09-08T19:00:00-05:00","Picador","4","","1.0","","","2022-11-25T20:36:50-06:00","Ninety Percent of Everything: Inside Shipping, the Invisible Industry That Puts Clothes on Your Back, Gas in Your Car, and Food on Your Plate","Ninety Percent of Everything: Inside Shipping, the Invisible Industry That Puts Clothes on Your Back, Gas in Your Car, and Food on Your Plate","d0a7b40d-c27d-44a3-854f-2194c6eba20e","",""
"Lencioni, Patrick","Patrick Lencioni","In The Five Dysfunctions of a Team Patrick Lencioni once again offers a leadership fable that is as enthralling and instructive as his first two best-selling books, The Five Temptations of a CEO and The Four Obsessions of an Extraordinary Executive. This time, he turns his keen intellect and storytelling power to the fascinating, complex world of teams. Kathryn Petersen, Decision Tech's CEO, faces the ultimate leadership crisis: Uniting a team in such disarray that it threatens to bring down the entire company. Will she succeed? Will she be fired? Will the company fail? Lencioni's utterly gripping tale serves as a timeless reminder that leadership requires as much courage as it does insight. Throughout the story, Lencioni reveals the five dysfunctions which go to the very heart of why teams even the best ones-often struggle. He outlines a powerful model and actionable steps that can be used to overcome these common hurdles and build a cohesive, effective team. Just as with his other books, Lencioni has written a compelling fable with a powerful yet deceptively simple message for all those who strive to be exceptional team leaders.
","/Users/nick/Calibre Library/Patrick Lencioni/The Five Dysfunctions of a Team_ A Leadership Fable (50)/cover.jpg","","50","isbn:9780470580462,google:ZkJ4jwEACAAJ","9780470580462","eng","Calibre Library","2002-04-10T21:48:13-05:00","Wiley","","","1.0","","Business & Economics, Human Resources & Personnel Management, General","2022-11-25T20:36:50-06:00","The Five Dysfunctions of a Team: A Leadership Fable","Five Dysfunctions of a Team: A Leadership Fable, The","3ba16d72-f06e-4d82-b052-396628582a4d","",""
"Goldberg, Aaron H.","Aaron H. Goldberg","Welcome to the world of Disney Declassified, a REAL look at some of the situations that play out in their theme parks, their corporate boardroom and all too often, a courtroom. Some of the situations are heartbreaking, others are head-scratching, and all of them are tales Disney would rather you not hear. Walt Disney, the company bearing his name, and their theme parks have been analyzed and chronicled almost ad nauseam. The word Disney conjures up different feelings for different people. For many, The Walt Disney Company stands for all things wholesome, family-centric, moral and entertaining, but every now and then scandalous and salacious behavior seeps into the utopian world of Disney. Disney Declassified isn't about the analysis of the Disney Company at a deep or philosophical level--actually, it's quite the contrary; it's a collection of true stories with Disney being the setting or the catalyst in situations that are very un-Disney-like. In some of these instances, not every Disney story ends happily ever after; • The shocking time a baby was born and abandoned in a Magic Kingdom toilet. • When an eight-year-old girl was randomly shot in the back while riding aboard the Disneyland Railroad. • The controversial story of a handicapped woman having her Disneyland annual pass suspended for speeding and running into other guests with her motorized scooter. • What do a priest accused of molesting multiple children and the founder of a Ponzi scheme have in common? They both fled their situations and went to work at Walt Disney World. • The role a former Nazi SS member played in the construction of Walt Disney World. • Two hostage situations at Walt Disney World, with one at EPCOT tragically ending in suicide. • How a peeping Tom set up an elaborate system to spy on female cast members as they changed for work inside of Cinderella's Castle. • Ever hear of something called ""Sphinctering?"" If you were one of the unlucky guys working for the fire company on Walt Disney World property, you may have been subjected to this form of male-on-male sexual harassment. • Find out how the public helped to identify and track down a despicable child pornographer based on the Disney resort in the background images the police released from his reprehensible videos. The Disney docket doesn't end with cases of ride accidents, sex, crimes, death and violence. There are multiple stories of people faking cancer to score a free trip to Walt Disney World, interesting copyright infringement and Americans with Disability Act lawsuits and a touching story how a young boy with autism utilizes Disney characters to communicate with his family. However you feel about Disney, lover or hater, explore these stories and many more, when the real world collides with Disney and their world. Chances are you may never view Disney the same way again!
","/Users/nick/Calibre Library/Aaron H. Goldberg/Disney Declassified_ Tales of Disney Scandals, Sex, Accidents and Deaths (51)/cover.jpg","","51","google:_F3BDwAAQBAJ,isbn:9780692256176","9780692256176","eng","Calibre Library","2016-01-12T20:49:02-06:00","Quaker Scribe","","","1.0","","Travel, Special Interest, Amusement & Theme Parks, Humor, Topic","2022-11-25T20:36:50-06:00","Disney Declassified: Tales of Disney Scandals, Sex, Accidents and Deaths","Disney Declassified: Tales of Disney Scandals, Sex, Accidents and Deaths","11d2618a-d4ed-467a-9090-b8501da86ed6","",""
"Glei, Jocelyn K.","Jocelyn K. Glei","**A modern, no-nonsense guide to getting rid of email anxiety, reclaiming your productivity, and spending more time on the work that matters.**
Let's face it: Email is killing our productivity. The average person checks their email 11 times per hour, processes 122 messages a day, and spends 28 percent of their total workweek managing their inbox. What was once a powerful and essential tool for *doing* our daily work has become a near-constant source of frustration, anxiety, and distraction *from* our work. 
*Unsubscribe* will show you how to tame your inbox and reclaim your focus, with tips on how to: 
  * Break free from email addiction and the ""inbox zero"" obsession 
  * Build a daily email routine that reduces stress and anxiety 
  * Process your inbox based on what (and who) really matters to you 
  * Write messages that get people to pay attention and take action 
  * Set boundaries and say ""no"" to time-wasting distractions 
  * Plan your day around meaningful work -- not busywork 


Productivity isn't about just ""keeping busy,"" it's about leaving a legacy. Are you ready to *Unsubscribe*?
**
### Review
**Insights from *Unsubscribe* have been featured on *NPR, Fast Company, BuzzFeed, Harvard Business Review, The Guardian* and other outlets including:**
""Office productivity may be a dorky subject, but Glei is dusting off the cobwebs. If one of your resolutions is to finally get on top of your inbox, the 'email whisperer' can help."" **\-- *The Sunday Times***
""Email - it's a good servant but a bad master. Packed with insights, practical strategies, and engaging illustrations, *Unsubscribe* is an invaluable resource for making great use of email."" - **-Gretchen Rubin // Bestselling author, *Better Than Before***
""This is a vitally important book, an urgent call for reason that can transform the way you spend hours every day."" - **-Seth Godin // Entrepreneur & Bestselling author**
""Unsubscribe is an unfailingly smart, funny and down-to-earth guide to mastering email so that it no longer masters us."" **\--Oliver Burkeman // Guardian columnist & author**
""Before you declare email bankruptcy, read Unsubscribe!"" - **-Simon Sinek // Bestselling author, *Start With Why***
""Unsubscribe is full of good advice."" **\--Shane Parrish // Founder, *Farnam Street***
""I highly recommend *Unsubscribe*. Lots of simple, actionable tips for anyone who uses email (which is everyone reading this)."" **\--Jeff Sheldon // Founder, Ugmonk**
""I started reading Jocelyn's new book over lunch and didn't want to put it down."" **\--Tina Essmaker // Editor-in-Chief, *The Great Discontent***
"" *Unsubscribe* has completely changed the way I work."" - **-Dan Mall // Founder, SuperFriendly**
### About the Author
Jocelyn K. Glei is a writer who is obsessed with how we can find more creativity and meaning in our daily work. Her previous books include *Manage Your Day-to-Day* , *Maximize Your Potential* , and *Make Your Mark* , which offer pragmatic, actionable advice for creatives on managing their time, their careers, and their businesses. She was formerly the founding director of the 99U Conference and editor of 99u.com, which earned two Webby Awards for Best Cultural Blog. Her books and writing have been featured in outlets including *NPR, New York Magazine, Fast Company, BuzzFeed, Quartz, SELF, The Guardian, Harvard Business Review,* and *Brain Pickings*. You can find her online at jkglei.com. 
","/Users/nick/Calibre Library/Jocelyn K. Glei/Unsubscribe_ How to Kill Email Anxiety, Avoid Distractions, and Get Real Work Done (53)/cover.jpg","","53","amazon:B01IAIZAM6","","eng","Calibre Library","2016-10-03T19:00:00-05:00","PublicAffairs","4.5","","1.0","","","2022-11-25T20:36:50-06:00","Unsubscribe: How to Kill Email Anxiety, Avoid Distractions, and Get Real Work Done","Unsubscribe: How to Kill Email Anxiety, Avoid Distractions, and Get Real Work Done","f0d1c062-2878-403b-b87d-63c60c8017e5","",""
"Priess, David","David Priess","","/Users/nick/Calibre Library/David Priess/The President's Book of Secrets_ The Untold Story of Intelligence Briefings to America's Preside (54)/cover.jpg","","54","","","","Calibre Library","2015-12-31T18:00:00-06:00","PublicAffairs","","","1.0","","","2022-11-25T20:36:50-06:00","The President's Book of Secrets: The Untold Story of Intelligence Briefings to America's Presidents","President's Book of Secrets: The Untold Story of Intelligence Briefings to America's Presidents, The","24f5551e-3c7e-4328-88e8-3a09a6dc96de","",""
"Roberts, Aaron","Aaron Roberts","Understand the process of setting up a successful cyber threat intelligence (CTI) practice within an established security team. This book shows you how threat information that has been collected, evaluated, and analyzed is a critical component in protecting your organization’s resources. Adopting an intelligence-led approach enables your organization to nimbly react to situations as they develop. Security controls and responses can then be applied as soon as they become available, enabling prevention rather than response. There are a lot of competing approaches and ways of working, but this book cuts through the confusion. Author Aaron Roberts introduces the best practices and methods for using CTI successfully. This book will help not only senior security professionals, but also those looking to break into the industry. You will learn the theories and mindset needed to be successful in CTI. This book covers the cybersecurity wild west, the merits and limitations of structured intelligence data, and how using structured intelligence data can, and should, be the standard practice for any intelligence team. You will understand your organizations’ risks, based on the industry and the adversaries you are most likely to face, the importance of open-source intelligence (OSINT) to any CTI practice, and discover the gaps that exist with your existing commercial solutions and where to plug those gaps, and much more. What You Will Learn Know the wide range of cybersecurity products and the risks and pitfalls aligned with blindly working with a vendorUnderstand critical intelligence concepts such as the intelligence cycle, setting intelligence requirements, the diamond model, and how to apply intelligence to existing security informationUnderstand structured intelligence (STIX) and why it’s important, and aligning STIX to ATT&CK and how structured intelligence helps improve final intelligence reportingKnow how to approach CTI, depending on your budgetPrioritize areas when it comes to funding and the best approaches to incident response, requests for information, or ad hoc reportingCritically evaluate services received from your existing vendors, including what they do well, what they don’t do well (or at all), how you can improve on this, the things you should consider moving in-house rather than outsourcing, and the benefits of finding and maintaining relationships with excellent vendors Who This Book Is For Senior security leaders in charge of cybersecurity teams who are considering starting a threat intelligence team, those considering a career change into cyber threat intelligence (CTI) who want a better understanding of the main philosophies and ways of working in the industry, and security professionals with no prior intelligence experience but have technical proficiency in other areas (e.g., programming, security architecture, or engineering)
","/Users/nick/Calibre Library/Aaron Roberts/Cyber Threat Intelligence_ The No-Nonsense Guide for CISOs and Security Managers (55)/cover.jpg","","55","google:nD19zgEACAAJ,isbn:9781484272190","9781484272190","eng","Calibre Library","2021-08-09T21:54:18-05:00","Apress","","","1.0","","Computers, Security, General, Information Technology","2022-11-25T20:36:50-06:00","Cyber Threat Intelligence: The No-Nonsense Guide for CISOs and Security Managers","Cyber Threat Intelligence: The No-Nonsense Guide for CISOs and Security Managers","9a85bac8-43db-4855-9742-6d20897c4070","",""
